productid,link,product_title,price,actual_price,ratings,color
270,https://www.daraz.com.np/products/dell-vostro-3520-core-i5-1235u-8gb-256gb-156-fhd-ubuntu-i128951880.html,"Dell Vostro 3520 | Core™ i5-1235U | 8GB | 256GB | 15.6"" FHD | UBUNTU","Rs. 64,900","Rs. 66,900",No Ratings,Black
273,https://www.daraz.com.np/products/xlab-x-book-series-xl-156p-laptop-accessories-security-software-i110403940.html,xLab x-Book Series XL-156P Laptop + Accessories + Security & Software,"Rs. 64,900","Rs. 79,777",No Ratings,Grey
276,https://www.daraz.com.np/products/dell-laptop-3520-i3-12th-generation-8gb-512gb-i129588505.html,Dell Laptop 3520 I3 12th Generation 8gb 512gb,"Rs. 53,500","Rs. 56,500",No Ratings,Black
281,https://www.daraz.com.np/products/acer-aspire-5-i7-12th-gen-8gb-ram-512gb-ssd-156-fhd-i128489193.html,Acer Aspire 5 i7 12th Gen 8GB RAM 512GB SSD 15.6″ FHD,"Rs. 91,890","Rs. 115,000",No Ratings,Silver
284,https://www.daraz.com.np/products/lenovo-ideapad-1-14amn7-ryzen-5-7520u-8gb-ram-256gb-ssd-14-fhd-display-i133125058.html,"Lenovo IdeaPad 1 14AMN7 | Ryzen 5-7520U | 8GB RAM | 256GB SSD | 14"" FHD Display","Rs. 58,999","Rs. 64,999",No Ratings,Silver
285,https://www.daraz.com.np/products/lenovo-ip3-ryzen-7-5700u8gb-ram256gb-ssd14-fhd-i122102395.html,"Lenovo IP3 Ryzen 7 5700U/8GB RAM/256GB SSD/14"" FHD","Rs. 73,990","Rs. 102,990",No Ratings,Artic Gray
286,https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128910933.html,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11","Rs. 69,990","Rs. 85,000",No Ratings,Black
289,https://www.daraz.com.np/products/hp-15s-ryzen-5-5500u-8-gb-ram-512-gb-ssd-156-inch-display-ote-i123094700.html,HP 15s Ryzen 5-5500U 8 GB RAM 512 GB SSD 15.6-inch Display - OTE,"Rs. 75,000","Rs. 80,000",No Ratings,Silver
294,https://www.daraz.com.np/products/lenovo-ip-slim-3-core-i5-13th-gen-13420h-8gb-ddr-5-ram512-gb-ssd156-fhdwin-11-i128896765.html,"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11","Rs. 71,990","Rs. 92,990",No Ratings,Black
298,https://www.daraz.com.np/products/acer-nitro-v-15-intel-core-i7-13th-gen-13620h-16gb-ddr5-ram-512gb-nvme-ssd-nvidia-rtx-4050-6gb-graphics-156-fhd-144hz-display-backlit-keyboard-black-i128521008.html,Acer Nitro V 15 Intel Core i7 13th Gen 13620H – 16GB DDR5 RAM – 512GB NVMe SSD – NVIDIA RTX 4050 6GB Graphics – 15.6″ FHD 144Hz Display – Backlit Keyboard – Black,"Rs. 139,999","Rs. 155,000",No Ratings,Black
299,https://www.daraz.com.np/products/hp-envy-x360core-5-120u-14th-gen-8gb-ram-512gb-ssd-14fhd-360-touch-backlit-keyboard-win-11-i146505312.html,"HP Envy x360,Core 5-120U 14th Gen | 8GB RAM | 512GB SSD | 14″FHD | 360 Touch | Backlit-Keyboard | Win 11","Rs. 97,499","Rs. 109,990",No Ratings,Silver
303,https://www.daraz.com.np/products/dell-inspiron-15-3530-i3-1305u-8gb-ram-512-gb-ssd-intel-uhd-fhd-display-156-inch-black-i136667122.html,DELL INSPIRON 15 3530 - i3 1305U | 8GB RAM | 512 GB SSD | Intel UHD | FHD Display 15.6-inch | Black,"Rs. 69,999","Rs. 80,500",No Ratings,Black
306,https://www.daraz.com.np/products/acer-swift-go-14-core-core-i7-1355u-13th-gen-16-gb-ram-512gb-ssd14-ips-touchbacklit-keyboard-win-11-i134757036.html,"Acer Swift GO 14 Core Core i7 - 1355U 13th Gen / 16 GB RAM/ 512GB SSD/14"" IPS Touch/Backlit Keyboard/ Win 11","Rs. 125,990","Rs. 145,990",No Ratings,Pure Silver
308,https://www.daraz.com.np/products/dell-vostro-3400-i3-11th-gen-8gb-ram-256gb-ssd-14-inch-display-laptop-i128049529.html,Dell Vostro 3400 i3 11th Gen / 8GB RAM / 256GB SSD / 14 inch Display Laptop,"Rs. 48,999","Rs. 63,000",No Ratings,Black
